"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 29 08:37:33 GMT 2025","Mon Sep 29 08:37:33 GMT 2025","0","SRC.tests.tests_ui","test_account_registration","TestAccountRegistrationFlow","","","Verify Verify Email Confirmation Sent Post Registration","Verify that the email confirmation is sent correctly after registration."
"passed","Mon Sep 29 08:37:59 GMT 2025","Mon Sep 29 08:37:59 GMT 2025","0","SRC.tests.tests_ui","test_payment_flow","TestPaymentFlowOnUI","","","Verify Successful Payment With Valid Card Details","Verify that the payment is processed successfully with valid card details."
"passed","Mon Sep 29 08:37:33 GMT 2025","Mon Sep 29 08:37:33 GMT 2025","0","SRC.tests.tests_ui","test_account_transactions","TestCurrentAndSavingsAccountsTransactions","","","MYS-44: Verify that money transfer between own accounts works correctly.","Verify that money transfer between own accounts works correctly."
"failed","Mon Sep 29 08:37:33 GMT 2025","Mon Sep 29 08:37:33 GMT 2025","0","SRC.tests.tests_ui","test_account_transactions","TestCurrentAndSavingsAccountsTransactions","","","MYS-47: Verify that IMPS transfer functionality works correctly.","Verify that IMPS transfer functionality works correctly."
"failed","Mon Sep 29 08:37:59 GMT 2025","Mon Sep 29 08:38:02 GMT 2025","3004","SRC.tests.tests_ui","test_payment_flow","TestPaymentFlowOnUI","","","Verify Check Promo Code Application In Payment","Verify that the promo code is applied correctly in payment."
"passed","Mon Sep 29 08:37:33 GMT 2025","Mon Sep 29 08:37:33 GMT 2025","0","SRC.tests.tests_ui","test_account_transactions","TestCurrentAndSavingsAccountsTransactions","","","MYS-52: Verify that failed transaction due to downtime is handled correctly.","Verify that failed transaction due to downtime is handled correctly."
"passed","Mon Sep 29 08:37:51 GMT 2025","Mon Sep 29 08:37:52 GMT 2025","327","SRC.tests.tests_ui","test_login_parameterized","TestLoginParameterized","","","test_parameterized_valid_login[locked_out_user-secret_sauce-False-Failure]","
        Test login functionality with valid and invalid credentials.
        "
"passed","Mon Sep 29 08:37:33 GMT 2025","Mon Sep 29 08:37:33 GMT 2025","0","SRC.tests.tests_ui","test_account_registration","TestAccountRegistrationFlow","","","Verify Check Back Button Functionality On Signup","Verify that the back button functionality is performed correctly on signup."
"passed","Mon Sep 29 08:37:33 GMT 2025","Mon Sep 29 08:37:33 GMT 2025","1","SRC.tests.tests_ui","test_account_transactions","TestCurrentAndSavingsAccountsTransactions","","","MYS-46: Verify that account balance is calculated correctly after a transaction.","Verify that account balance is calculated correctly after a transaction."
"passed","Mon Sep 29 08:37:59 GMT 2025","Mon Sep 29 08:37:59 GMT 2025","0","SRC.tests.tests_ui","test_payment_flow","TestPaymentFlowOnUI","","","Verify Verify Success Message Post Successful Transaction","Verify that the success message is displayed after successful transaction."
"passed","Mon Sep 29 08:37:33 GMT 2025","Mon Sep 29 08:37:33 GMT 2025","0","SRC.tests.tests_ui","test_account_registration","TestAccountRegistrationFlow","","","Verify Check OTP Verification During Registration","Verify that the OTP verification is performed correctly during registration."
"passed","Mon Sep 29 08:37:33 GMT 2025","Mon Sep 29 08:37:33 GMT 2025","0","SRC.tests.tests_ui","test_account_registration","TestAccountRegistrationFlow","","","Verify Registration With Referral Code","Verify that the registration with referral code is performed correctly."
"passed","Mon Sep 29 08:37:50 GMT 2025","Mon Sep 29 08:37:50 GMT 2025","334","SRC.tests.tests_ui","test_login","TestLogin","","","Verify Invalid Login","Verify that the user can login with invalid creds."
"passed","Mon Sep 29 08:37:51 GMT 2025","Mon Sep 29 08:37:51 GMT 2025","349","SRC.tests.tests_ui","test_login_parameterized","TestLoginParameterized","","","test_parameterized_valid_login[standard_user-secret_sauce-True-Success]","
        Test login functionality with valid and invalid credentials.
        "
"passed","Mon Sep 29 08:37:36 GMT 2025","Mon Sep 29 08:37:36 GMT 2025","52","SRC.tests.tests_ui","test_homepage","TestHomePage","","","Verify Sorting","Verify that sorting options are available on the home page."
"passed","Mon Sep 29 08:37:33 GMT 2025","Mon Sep 29 08:37:33 GMT 2025","0","SRC.tests.tests_ui","test_account_transactions","TestCurrentAndSavingsAccountsTransactions","","","MYS-51: Verify that overdraft limit warnings are displayed correctly.","Verify that overdraft limit warnings are displayed correctly."
"failed","Mon Sep 29 08:37:39 GMT 2025","Mon Sep 29 08:37:49 GMT 2025","9642","SRC.tests.tests_ui","test_login","TestLogin","","","Verify Logout","Verify that the user can logout."
"failed","Mon Sep 29 08:37:59 GMT 2025","Mon Sep 29 08:37:59 GMT 2025","0","SRC.tests.tests_ui","test_payment_flow","TestPaymentFlowOnUI","","","Verify Verify Currency Change Updates Payment Amount","Verify that the currency change updates the payment amount correctly."
"passed","Mon Sep 29 08:37:49 GMT 2025","Mon Sep 29 08:37:50 GMT 2025","518","SRC.tests.tests_ui","test_login","TestLogin","","","Verify Page Title","Verify that the page title is correct."
"passed","Mon Sep 29 08:37:33 GMT 2025","Mon Sep 29 08:37:33 GMT 2025","0","SRC.tests.tests_ui","test_account_registration","TestAccountRegistrationFlow","","","Verify Check Registration Date Saved Correctly","Verify that the registration date is saved correctly."
"passed","Mon Sep 29 08:37:59 GMT 2025","Mon Sep 29 08:37:59 GMT 2025","0","SRC.tests.tests_ui","test_payment_flow","TestPaymentFlowOnUI","","","Verify Validate CVV Check During Payment","Verify that the CVV check is performed during payment."
"failed","Mon Sep 29 08:38:02 GMT 2025","Mon Sep 29 08:38:02 GMT 2025","0","SRC.tests.tests_ui","test_payment_flow","TestPaymentFlowOnUI","","","Verify Verify Retry Mechanism On Network Error","Verify that the retry mechanism is triggered on network error."
"passed","Mon Sep 29 08:37:37 GMT 2025","Mon Sep 29 08:37:38 GMT 2025","171","SRC.tests.tests_ui","test_homepage","TestHomePage","","","Verify Menu","Verify that the menu navigation works correctly."
"passed","Mon Sep 29 08:37:50 GMT 2025","Mon Sep 29 08:37:51 GMT 2025","340","SRC.tests.tests_ui","test_login","TestLogin","","","Verify Problem User Login","Verify that the user can login with problem user creds."
"failed","Mon Sep 29 08:37:59 GMT 2025","Mon Sep 29 08:37:59 GMT 2025","1","SRC.tests.tests_ui","test_payment_flow","TestPaymentFlowOnUI","","","Verify Validate Saved Card Autofill Functionality","Verify that the saved card details are automatically filled in payment form."
"failed","Mon Sep 29 08:37:33 GMT 2025","Mon Sep 29 08:37:33 GMT 2025","0","SRC.tests.tests_ui","test_account_registration","TestAccountRegistrationFlow","","","Verify Terms And Conditions Checkbox Validation","Verify that the terms and conditions checkbox validation is performed correctly."
"skipped","Mon Sep 29 08:37:33 GMT 2025","Mon Sep 29 08:37:33 GMT 2025","0","SRC.tests.tests_ui","test_homepage","TestHomePage","","","Verify Products","Verify that products are displayed on the home page."
"passed","Mon Sep 29 08:37:38 GMT 2025","Mon Sep 29 08:37:39 GMT 2025","435","SRC.tests.tests_ui","test_login","TestLogin","","","Verify Login","Verify that the user can login with valid creds."
"failed","Mon Sep 29 08:37:33 GMT 2025","Mon Sep 29 08:37:33 GMT 2025","0","SRC.tests.tests_ui","test_account_transactions","TestCurrentAndSavingsAccountsTransactions","","","MYS-49: Verify that deposit transaction logging works correctly.","Verify that deposit transaction logging works correctly."
"failed","Mon Sep 29 08:37:33 GMT 2025","Mon Sep 29 08:37:33 GMT 2025","1","SRC.tests.tests_ui","test_account_registration","TestAccountRegistrationFlow","","","Verify Social Media Registration Google Facebook","Verify that the social media registration is performed correctly."
"passed","Mon Sep 29 08:37:32 GMT 2025","Mon Sep 29 08:37:32 GMT 2025","256","SRC.tests.tests_api","test_bookers_api","TestBookersApi","","","test_create_booking","
        Test the booking creation API.

        "
"passed","Mon Sep 29 08:37:33 GMT 2025","Mon Sep 29 08:37:33 GMT 2025","0","SRC.tests.tests_ui","test_account_registration","TestAccountRegistrationFlow","","","Verify Check Redirection To Dashboard Post Signup","Verify that the redirection to dashboard is performed correctly after signup."
